latitude,longitude,Genus,Species,Common Name
40.766197,-111.82556,Syringa,vulgaris,Firmament Lilac
40.766141,-111.825808,Clematis,texensis,Clematis
40.76615,-111.825844,Clematis,texensis,Clematis
40.766159,-111.825856,Clematis,texensis,Clematis
40.766141,-111.82582,Clematis,texensis,Clematis
40.766114,-111.825761,Clematis,texensis,Clematis
40.76615,-111.825832,Clematis,texensis,Clematis
40.766959,-111.825984,Pinus,sylvestris,Globose Scots Pine
40.76777,-111.824738,Hemerocallis,,Daylily
40.765218,-111.823925,Hydrangea,anomala,Climbing Hydrangea
40.765209,-111.823925,Hydrangea,anomala,Climbing Hydrangea
40.766454,-111.826132,Spiraea,fritschiana,Spiraea
40.766463,-111.82612,Spiraea,fritschiana,Spiraea
40.766503,-111.825635,Rosa,,Europeanar Rose
40.766494,-111.825623,Rosa,,Europeanar Rose
40.766567,-111.825458,Rosa,,Europeanar Rose
40.76654,-111.825434,Rosa,,Europeanar Rose
40.766567,-111.825434,Rosa,,Europeanar Rose
40.766567,-111.825446,Rosa,,Europeanar Rose
40.766558,-111.825434,Rosa,,Europeanar Rose
40.766558,-111.825434,Rosa,,Europeanar Rose
40.766549,-111.825446,Rosa,,Europeanar Rose
40.766567,-111.825434,Rosa,,Europeanar Rose
40.766549,-111.825434,Rosa,,Europeanar Rose
40.766558,-111.825446,Rosa,,Europeanar Rose
40.766558,-111.825458,Rosa,,Europeanar Rose
40.766494,-111.825611,Rosa,,Europeanar Rose
40.766567,-111.82547,Rosa,,Europeanar Rose
40.766494,-111.825635,Rosa,,Europeanar Rose
40.766494,-111.825623,Rosa,,Europeanar Rose
40.76624,-111.823345,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.76624,-111.823357,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.76624,-111.823345,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.76624,-111.823357,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766603,-111.824226,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766603,-111.824214,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766594,-111.824214,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766594,-111.824214,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766585,-111.824202,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766594,-111.824226,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766835,-111.824537,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766835,-111.824549,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766762,-111.824596,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766771,-111.824608,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766844,-111.824549,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766771,-111.824596,Daphne,burkwoodii,Carol Mackie Burkwood Daphne
40.766736,-111.823245,Iliamna,rivularis,Mountain Hollyhock
40.764978,-111.828377,Quercus,gambelii x wislizenii,Hybrid Oak
40.766516,-111.824948,Geranium,phaeum,Dusky Cranesbill
40.766391,-111.824875,Cornus,alba,Tatarian Dogwood
40.766432,-111.825385,Cornus,alba,Tatarian Dogwood
40.766414,-111.82535,Cornus,alba,Tatarian Dogwood
40.76645,-111.825397,Cornus,alba,Tatarian Dogwood
40.766038,-111.823793,Althaea,officinalis,Marsh Mallow
40.766038,-111.823793,Althaea,officinalis,Marsh Mallow
40.766765,-111.825496,Rosa,,Irresistibler Rose
40.766765,-111.825496,Rosa,,Irresistibler Rose
40.766711,-111.825472,Rosa,,Irresistibler Rose
40.766774,-111.825508,Rosa,,Irresistibler Rose
40.766702,-111.825472,Rosa,,Irresistibler Rose
40.766702,-111.82546,Rosa,,Irresistibler Rose
40.766765,-111.825508,Rosa,,Irresistibler Rose
40.766765,-111.825496,Rosa,,Irresistibler Rose
40.766774,-111.825508,Rosa,,Irresistibler Rose
40.766792,-111.82552,Rosa,,Irresistibler Rose
40.766765,-111.825508,Rosa,,Irresistibler Rose
40.766684,-111.825471,Rosa,,Irresistibler Rose
40.766765,-111.825496,Rosa,,Irresistibler Rose
40.766783,-111.82552,Rosa,,Irresistibler Rose
40.766783,-111.825508,Rosa,,Irresistibler Rose
40.766702,-111.825472,Rosa,,Irresistibler Rose
40.766774,-111.825508,Rosa,,Irresistibler Rose
40.766684,-111.82546,Rosa,,Irresistibler Rose
40.766056,-111.823781,Hemerocallis,,Bitsy Daylily
40.766274,-111.824838,Hemerocallis,,Bitsy Daylily
40.766333,-111.824116,Echinops,bannaticus,Blue Glow Globe Thistle
40.766447,-111.824639,Prunus,mume,Japanese Apricot
40.766589,-111.82483,Prunus,mume,Japanese Apricot
40.76556,-111.823917,Acer,japonicum,Full Moon Maple
40.765578,-111.823941,Acer,japonicum,Full Moon Maple
40.766416,-111.825196,Acer,japonicum,Full Moon Maple
40.766827,-111.825544,Rosa,,Madame Hardy Rose
40.765648,-111.824155,Caryopteris,clandonensis,Bluebeard
40.766315,-111.824104,Caryopteris,clandonensis,Bluebeard
40.766306,-111.824187,Caryopteris,clandonensis,Bluebeard
40.766333,-111.824176,Caryopteris,clandonensis,Bluebeard
40.766306,-111.824199,Caryopteris,clandonensis,Bluebeard
40.766306,-111.824199,Caryopteris,clandonensis,Bluebeard
